target_a,target_b,pair_support,experimental_spearman,raw_docking,residual_docking,full_sequence_identity,same_curated_family,equal_rank_sequence_family,equal_rank_sequence_residual,equal_rank_sequence_family_residual
ADRA1A,ADRA2A,45,0.21252346926776813,0.6850427477918248,-0.23287328859469464,0.2521150592216582,1.0,0.7972972972972974,0.4391891891891892,0.6036036036036037
ADRA1A,ADRB1,19,-0.2716688699167685,0.6329456658152491,-0.4011116422991507,0.2846580406654344,1.0,0.8986486486486487,0.4864864864864865,0.6351351351351352
ADRA1A,ADRB2,19,0.05103917458031083,0.6729203936806484,-0.29150980169957735,0.29006085192697767,1.0,0.9054054054054055,0.5202702702702703,0.6576576576576577
ADRA1A,CHRM1,28,0.39354132457580737,0.7108517553777232,0.11809686873630963,0.20797227036395147,0.0,0.42905405405405406,0.5202702702702703,0.490990990990991
ADRA1A,CHRM2,25,0.3162146625141575,-0.10808894315675753,-0.010930169349759733,0.19120135363790186,0.0,0.38513513513513514,0.3918918918918919,0.40540540540540543
ADRA1A,CHRM3,25,0.23966147779357674,0.5553053709303623,0.2688579269436784,0.1736613603473227,0.0,0.35135135135135137,0.5574324324324325,0.5157657657657658
ADRA1A,DRD1,30,0.3815350389321468,0.6921387061474066,-0.0325205828388716,0.3130081300813008,0.0,0.6689189189189189,0.6587837837837838,0.5833333333333334
ADRA1A,DRD2,39,0.39534412955465587,0.6847000492649169,-0.17646382315202291,0.23478260869565218,0.0,0.49324324324324326,0.40878378378378377,0.4166666666666667
ADRA1A,HRH1,33,0.5862299465240642,0.6390831627685764,0.21080076431604813,0.19286871961102106,0.0,0.3952702702702703,0.5709459459459459,0.5247747747747747
ADRA1A,HRH2,15,0.4357142857142856,0.7444125815332366,0.3462867926396446,0.2818371607515658,0.0,0.6452702702702703,0.875,0.7274774774774775
ADRA1A,HTR1A,40,0.22889305816135086,0.6481371947255876,-0.3850415217155393,0.25137614678899084,0.0,0.5439189189189189,0.38513513513513514,0.40090090090090086
ADRA1A,HTR1B,32,0.45857771260997054,0.6259669069721813,-0.37262205449397906,0.2638623326959847,0.0,0.597972972972973,0.44932432432432434,0.4436936936936937
ADRA1A,HTR2A,40,0.4953095684803002,0.7459021684032644,0.08659723516243746,0.24220183486238533,0.0,0.5168918918918919,0.5878378378378378,0.536036036036036
