target_a,target_b,docking_observed_residual_correlation,docking_descriptor_component_target_specific_correlation,docking_descriptor_component_target_blind_correlation,DAVIS_experimental_centered_correlation,PKIS2_experimental_centered_correlation,PKIS1_experimental_centered_correlation,KiRHub_experimental_centered_correlation
ABL1,AKT1,-0.4581593168401859,-0.98220548953385756,1,-0.44573869239428898,-0.35783593741658581,-0.41849356068047178,-0.56390005269538135
ABL1,AKT2,-0.13232284630972999,-0.81327328466117865,1,-0.475793428933941,-0.4366868499454597,-0.41944890611501662,-0.58991731573792616
ABL1,CDK2,-0.30128906553583501,-0.8141949071862763,1,-0.37950237989764779,-0.11901292870852891,-0.0250997358770721,-0.52326177607550861
ABL1,CSF1R,0.014805657853510084,0.94570216292534914,1,0.3242611875807993,0.26869897740341431,0.1516379225128181,0.3788052896075435
ABL1,EGFR,-0.11003296596434101,-0.68837071701182795,1,-0.027749196729083499,-0.20217315964183441,-0.1746195501388417,0.011693873848013001
ABL1,FGFR1,0.38951965992305404,0.81752713232496055,1,-0.1437650652619529,0.0111966160153064,-0.1035643363550684,0.1581032452991733
ABL1,IGF1R,-0.26356509523639848,0.60545619663967642,1,-0.37001617264432829,-0.3281837993997283,-0.30862589877410168,-0.1753241520325329
ABL1,JAK2,-0.22129478473921771,0.74927149836156393,1,-0.18570550805926439,-0.28309069140186438,-0.22435284526704971,-0.13104431229086921
ABL1,KDR,0.38447862124207743,0.54103722077230676,1,-0.11293723940139611,0.3591251175100621,0.37613484951062431,0.24787050412473391
ABL1,KIT,0.2316695248879401,0.83028603938532786,1,0.33906067583101368,0.24062460114031589,0.35780672928917828,0.17115834692244061
ABL1,LCK,-0.11530431097974066,-0.12121378194958904,1,0.7808323329567225,0.31274608837632939,0.59321893808212678,0.65754064720757299
ABL1,MAP2K1,-0.30679040493445525,-0.97756708627049771,1,-0.14974660263441211,-0.055450472112883897,-0.52509977823612275,-0.32960040475065988
ABL1,MAPK1,-0.1823919995364997,0.23834752115518762,1,-0.47295666101404399,-0.26280455567169819,-0.53754201404206692,-0.56843295375224689
ABL1,MAPK14,-0.035693942023009434,0.73491463889575548,1,0.035557974222443299,-0.078639199401665,-0.1702255159080498,0.062306997624138799
ABL1,MAPKAPK2,-0.17402796498311573,-0.56125910146383862,1,-0.53812731744639186,-0.34225359980708059,-0.44243813055895648,-0.58201770568200928
ABL1,MET,0.17886528636170235,0.3719762271379532,1,-0.1805546088664759,0.058032220563775903,-0.057617779183193399,-0.033911764061080901
ABL1,PLK1,-0.27722712574300573,-0.45993709350662249,1,-0.37988603583703018,-0.23559574509037459,-0.29989003605453529,-0.54434614058921227
ABL1,ROCK1,-0.43274051033541117,-0.84089250352582023,1,-0.41078549000078562,-0.29889816026125349,-0.4133813874586415,-0.52241256015877624
ABL1,SRC,-0.23982752319459497,-0.43687539548802379,1,0.5889304691305588,0.23929445172679489,0.6718119332755329,0.55372636230374761
AKT1,AKT2,0.19191723265261607,0.8834171835598138,1,0.95598478625355243,0.69056075034377395,0.99456921014196242,0.93381234102980604
AKT1,CDK2,0.12199237916752845,0.85553145311641743,1,0.35429090639328759,0.050501690098721498,-0.18404122117739899,0.41285750744882288
AKT1,CSF1R,-0.24865108777482872,-0.93844914572973104,1,-0.42150509198930819,-0.35927690636401,-0.44476843626783719,-0.53134313039284187
AKT1,EGFR,0.01324048537772975,0.70440490370610676,1,0.0374899620304526,-0.041813879775608097,0.0764455686903045,-0.1137763435642605
AKT1,FGFR1,-0.29183199803402654,-0.87371866570468959,1,-0.1778379660685834,0.080120035680398702,0.088703938149074804,-0.39561919159991688
AKT1,IGF1R,-0.071695135583695446,-0.67532314328487886,1,0.1282284676330751,0.080799358412546596,0.0166643766509855,0.0116772869067562
AKT1,JAK2,-0.039792244991209362,-0.61420428320117504,1,-0.1515850390297499,0.068343785697293699,0.15889860521262739,-0.2264243466014863
AKT1,KDR,-0.30111189147879314,-0.65268038039770393,1,-0.27330907305118379,-0.34069311557527387,-0.095344183317326997,-0.38262512402185761
AKT1,KIT,-0.25361973053217157,-0.85073988701072356,1,-0.4611445279839958,-0.38278092777017492,-0.47748664627624698,-0.32093042334713828
AKT1,LCK,0.02717267144618633,0.22416664503053974,1,-0.51670957057927092,-0.3995390764669895,-0.40394322922010761,-0.66877885719497665
AKT1,MAP2K1,0.43135632560390952,0.99736558984659596,1,-0.13075361600099011,-0.033138818432031397,0.21817229944253261,0.29044180225423588
AKT1,MAPK1,-0.047488507778871474,-0.29884154095151833,1,0.49594522408455749,0.35454962943177998,0.26474705895720418,0.75875314896752033
AKT1,MAPK14,-0.12224783023501622,-0.74287175911872294,1,0.1159766536177653,-0.040126974347332103,0.067542295150339396,0.1717101040041708
AKT1,MAPKAPK2,0.082840683385192418,0.64610582401854644,1,0.58527207920848001,0.21292354166515459,0.53196420366762298,0.72404603385873612
AKT1,MET,-0.18262175535181532,-0.50781161625792626,1,-0.019902454197614598,-0.16390281555311481,-0.075455874538578896,0.067292760361536696
AKT1,PLK1,0.1196664879308782,0.50649977338813912,1,0.2023772113318445,0.14543703429855909,0.096838679586161505,0.59182917570556315
AKT1,ROCK1,0.44456516045765909,0.88217972108865095,1,0.55086403557526087,0.36148469771907837,0.33544740004786111,0.73917340824874045
AKT1,SRC,0.13436365255535787,0.504773939556455,1,-0.37813347956870258,-0.30280791994948347,-0.50916236110805224,-0.56959155228147895
AKT2,CDK2,0.0053883401057144347,0.93684717752354252,1,0.37446593426238978,0.1253431690652837,-0.18299409049525339,0.450014557675604
AKT2,CSF1R,-0.12164535656243235,-0.70445185817525002,1,-0.41604128397724799,-0.34140805815873032,-0.44991254078908782,-0.55057701945021542
AKT2,EGFR,-0.12732812254094736,0.53280298774728507,1,0.040211866608778797,-0.0046167773308411998,0.081503304694957604,-0.054964256971017103
AKT2,FGFR1,-0.10224375985338321,-0.93134731975080864,1,-0.1750284023706293,-0.0098805864593471994,0.10622673523349439,-0.41157917653581172
AKT2,IGF1R,-0.10235811224073423,-0.86642338208687364,1,0.1241974796112876,0.16973666176323879,0.021167827866201999,0.0608799412052069
AKT2,JAK2,-0.11724052055085894,-0.30969062448743628,1,-0.1430519361585755,0.0092304454377662003,0.15143193428672111,-0.23801841216891051
AKT2,KDR,-0.13385804088399875,-0.90370835102301039,1,-0.2485822785542959,-0.37436148490411758,-0.092982428577698506,-0.43494227136115848
AKT2,KIT,-0.10564297961304199,-0.87118376834038813,1,-0.45309020495424263,-0.35063708013137768,-0.47287617932971782,-0.3527393741122114
AKT2,LCK,0.02078930301591482,0.61957662176963857,1,-0.5385583830171794,-0.36936825990668237,-0.40540788380335641,-0.68452336019475823
AKT2,MAP2K1,0.05416295126698923,0.88973055825316572,1,-0.10713522623174949,-0.040678355351400797,0.22097832608864151,0.32100349014072949
AKT2,MAPK1,-0.024187250663773693,-0.61981174611863443,1,0.51539932865752391,0.35235816383524388,0.2688247410698677,0.75107596542983113
AKT2,MAPK14,-0.1188855215162693,-0.52881858898503498,1,0.12032301752163101,-0.0086426132882446004,0.064897916451037693,0.1129025743473273
AKT2,MAPKAPK2,0.0070892911662279439,0.57652035106881749,1,0.62361167799142814,0.37003289502069431,0.52992102685602693,0.74926094297972901
AKT2,MET,-0.12605106151805928,-0.81708808329619687,1,-0.0215694496189941,-0.140081990349438,-0.075048633451465202,0.082347997779311594
AKT2,PLK1,-0.015463070433838377,0.64812493914282887,1,0.21450271828726661,0.1015839878755718,0.1011514305122751,0.6138879937775833
AKT2,ROCK1,0.18947081240859126,0.96575359876875466,1,0.47775460716079898,0.25617478152462547,0.30599627014075192,0.71021698322534987
AKT2,SRC,0.04926320708666914,0.77450079561803598,1,-0.40945134915461617,-0.29217716211928929,-0.50351777532838715,-0.52065980329805761
CDK2,CSF1R,-0.0084578017175335925,-0.6643168438686341,1,-0.36516959215360739,-0.36270464738006158,0.068420992507173303,-0.39404183978282092
CDK2,EGFR,0.059609938054045249,0.51035986080313189,1,-0.010852366669977799,-0.10588341460108359,-0.223883136283895,0.041496752113997601
CDK2,FGFR1,-0.36707108788078996,-0.93918620760570948,1,-0.082684857720485699,-0.017372903055597601,-0.2433147772059267,-0.33087461607530899
CDK2,IGF1R,0.12967809240493214,-0.89285123568822644,1,0.1255406111620089,0.20935021347168439,-0.0230345324088247,0.20781123561289699
CDK2,JAK2,0.2260864080544587,-0.39963066103753514,1,-0.064176546826451603,0.029398569938928702,0.0080249064445468005,-0.0078698860591853003
CDK2,KDR,-0.33588133578762019,-0.84787742920451614,1,-0.21557831123267829,-0.1733681352861477,-0.0096038126414311996,-0.45819141751674392
CDK2,KIT,-0.259291970680531,-0.95991878339670633,1,-0.4184595397613155,-0.23120678402609671,0.16689000819534491,-0.36481686518547718
