target_a,target_b,docking_observed_residual_correlation,docking_descriptor_component_correlation,docking_descriptor_removed_correlation,DAVIS_experimental_centered_correlation,PKIS2_experimental_centered_correlation,PKIS1_experimental_centered_correlation,KiRHub_experimental_centered_correlation
ABL1,AKT1,-0.45815931684018585,-0.9822054895338573,-0.2885465490422291,-0.445738692394289,-0.3578359374165858,-0.4184935606804718,-0.5639000526953813
ABL1,AKT2,-0.13232284630972993,-0.8132732846611781,-0.036563264022866256,-0.475793428933941,-0.4366868499454597,-0.4194489061150166,-0.5899173157379262
ABL1,CDK2,-0.30128906553583523,-0.8141949071862764,-0.2773240592393087,-0.3795023798976478,-0.1190129287085289,-0.0250997358770721,-0.5232617760755086
ABL1,CSF1R,0.014805657853510032,0.9457021629253488,-0.1548367330722019,0.3242611875807993,0.2686989774034143,0.1516379225128181,0.3788052896075435
ABL1,EGFR,-0.11003296596434099,-0.6883707170118275,-0.05398283030404004,-0.0277491967290835,-0.2021731596418344,-0.1746195501388417,0.011693873848013
ABL1,FGFR1,0.389519659923054,0.8175271323249604,0.34235247285326276,-0.1437650652619529,0.0111966160153064,-0.1035643363550684,0.1581032452991733
ABL1,IGF1R,-0.26356509523639843,0.6054561966396764,-0.3447769544355257,-0.3700161726443283,-0.3281837993997283,-0.3086258987741017,-0.1753241520325329
ABL1,JAK2,-0.22129478473921782,0.7492714983615637,-0.30464508723746986,-0.1857055080592644,-0.2830906914018644,-0.2243528452670497,-0.1310443122908692
ABL1,KDR,0.38447862124207743,0.5410372207723068,0.3576515721775698,-0.1129372394013961,0.3591251175100621,0.3761348495106243,0.2478705041247339
ABL1,KIT,0.23166952488794001,0.8302860393853276,0.17511082624775048,0.3390606758310137,0.2406246011403159,0.3578067292891783,0.1711583469224406
ABL1,LCK,-0.11530431097974062,-0.12121378194958903,-0.11483612759263932,0.7808323329567225,0.3127460883763294,0.5932189380821268,0.657540647207573
ABL1,MAP2K1,-0.3067904049344553,-0.9775670862704978,-0.14130440964038046,-0.1497466026344121,-0.0554504721128839,-0.5250997782361227,-0.3296004047506599
ABL1,MAPK1,-0.18239199953649973,0.2383475211551875,-0.2205941550729248,-0.472956661014044,-0.2628045556716982,-0.5375420140420669,-0.5684329537522469
ABL1,MAPK14,-0.03569394202300944,0.7349146388957555,-0.12742808617044746,0.0355579742224433,-0.078639199401665,-0.1702255159080498,0.0623069976241388
ABL1,MAPKAPK2,-0.17402796498311573,-0.5612591014638385,-0.14531051140132223,-0.5381273174463919,-0.3422535998070806,-0.4424381305589565,-0.5820177056820093
ABL1,MET,0.1788652863617025,0.3719762271379532,0.1519785175919416,-0.1805546088664759,0.0580322205637759,-0.0576177791831934,-0.0339117640610809
ABL1,PLK1,-0.2772271257430057,-0.4599370935066222,-0.2649394923495478,-0.3798860358370302,-0.2355957450903746,-0.2998900360545353,-0.5443461405892123
ABL1,ROCK1,-0.4327405103354113,-0.8408925035258202,-0.32886506096951174,-0.4107854900007856,-0.2988981602612535,-0.4133813874586415,-0.5224125601587762
ABL1,SRC,-0.23982752319459505,-0.43687539548802357,-0.21951009461461515,0.5889304691305588,0.2392944517267949,0.6718119332755329,0.5537263623037476
AKT1,AKT2,0.19191723265261604,0.8834171835598135,0.029390687573324675,0.9559847862535524,0.690560750343774,0.9945692101419624,0.933812341029806
AKT1,CDK2,0.12199237916752846,0.8555314531164173,0.04990605293424133,0.3542909063932876,0.0505016900987215,-0.184041221177399,0.4128575074488229
AKT1,CSF1R,-0.24865108777482864,-0.938449145729731,-0.03192871855142595,-0.4215050919893082,-0.35927690636401,-0.4447684362678372,-0.5313431303928419
AKT1,EGFR,0.013240485377729785,0.7044049037061065,-0.1139517841843784,0.0374899620304526,-0.0418138797756081,0.0764455686903045,-0.1137763435642605
AKT1,FGFR1,-0.29183199803402654,-0.8737186657046893,-0.1949481541868578,-0.1778379660685834,0.0801200356803987,0.0887039381490748,-0.3956191915999169
AKT1,IGF1R,-0.07169513558369546,-0.6753231432848789,0.010555896862815054,0.1282284676330751,0.0807993584125466,0.0166643766509855,0.0116772869067562
AKT1,JAK2,-0.03979224499120935,-0.6142042832011749,0.03632931502263348,-0.1515850390297499,0.0683437856972937,0.1588986052126274,-0.2264243466014863
AKT1,KDR,-0.3011118914787931,-0.6526803803977036,-0.20897890812360737,-0.2733090730511838,-0.3406931155752739,-0.095344183317327,-0.3826251240218576
AKT1,KIT,-0.25361973053217146,-0.8507398870107236,-0.1761332252317946,-0.4611445279839958,-0.3827809277701749,-0.477486646276247,-0.3209304233471383
AKT1,LCK,0.027172671446186323,0.22416664503053965,-0.028024390376914017,-0.5167095705792709,-0.3995390764669895,-0.4039432292201076,-0.6687788571949767
AKT1,MAP2K1,0.4313563256039096,0.9973655898465957,0.18146871163658526,-0.1307536160009901,-0.0331388184320314,0.2181722994425326,0.2904418022542359
AKT1,MAPK1,-0.04748850777887145,-0.2988415409515182,-0.020736323344783134,0.4959452240845575,0.35454962943178,0.2647470589572042,0.7587531489675203
AKT1,MAPK14,-0.12224783023501619,-0.7428717591187227,-0.0013767418106106525,0.1159766536177653,-0.0401269743473321,0.0675422951503394,0.1717101040041708
AKT1,MAPKAPK2,0.08284068338519239,0.6461058240185461,0.005447091481375018,0.58527207920848,0.2129235416651546,0.531964203667623,0.7240460338587361
AKT1,MET,-0.18262175535181538,-0.5078116162579263,-0.11287157687679918,-0.0199024541976146,-0.1639028155531148,-0.0754558745385789,0.0672927603615367
AKT1,PLK1,0.11966648793087818,0.506499773388139,0.06451656761822439,0.2023772113318445,0.1454370342985591,0.0968386795861615,0.5918291757055631
AKT1,ROCK1,0.4445651604576592,0.8821797210886508,0.23994294791710186,0.5508640355752609,0.3614846977190784,0.3354474000478611,0.7391734082487404
AKT1,SRC,0.13436365255535784,0.5047739395564551,0.06868204443742358,-0.3781334795687026,-0.3028079199494835,-0.5091623611080522,-0.569591552281479
AKT2,CDK2,0.005388340105714448,0.9368471775235425,-0.040745654903188294,0.3744659342623898,0.1253431690652837,-0.1829940904952534,0.450014557675604
AKT2,CSF1R,-0.12164535656243229,-0.7044518581752498,-0.046260582508636995,-0.416041283977248,-0.3414080581587303,-0.4499125407890878,-0.5505770194502154
AKT2,EGFR,-0.12732812254094736,0.5328029877472851,-0.1752708936867777,0.0402118666087788,-0.0046167773308412,0.0815033046949576,-0.0549642569710171
AKT2,FGFR1,-0.10224375985338323,-0.9313473197508085,-0.03024642747082742,-0.1750284023706293,-0.0098805864593472,0.1062267352334944,-0.4115791765358117
AKT2,IGF1R,-0.10235811224073421,-0.8664233820868735,-0.05731732831250866,0.1241974796112876,0.1697366617632388,0.021167827866202,0.0608799412052069
AKT2,JAK2,-0.11724052055085891,-0.30969062448743634,-0.10767247737286578,-0.1430519361585755,0.0092304454377662,0.1514319342867211,-0.2380184121689105
AKT2,KDR,-0.13385804088399875,-0.9037083510230104,-0.03886242306005351,-0.2485822785542959,-0.3743614849041176,-0.0929824285776985,-0.4349422713611585
AKT2,KIT,-0.105642979613042,-0.8711837683403877,-0.05005417517045675,-0.4530902049542426,-0.3506370801313777,-0.4728761793297178,-0.3527393741122114
AKT2,LCK,0.020789303015914844,0.6195766217696382,-0.046421618194030054,-0.5385583830171794,-0.3693682599066824,-0.4054078838033564,-0.6845233601947582
AKT2,MAP2K1,0.05416295126698923,0.8897305582531654,-0.0927560754134732,-0.1071352262317495,-0.0406783553514008,0.2209783260886415,0.3210034901407295
AKT2,MAPK1,-0.02418725066377368,-0.6198117461186341,0.0076921534701134865,0.5153993286575239,0.3523581638352439,0.2688247410698677,0.7510759654298311
AKT2,MAPK14,-0.11888552151626938,-0.528818588985035,-0.08462028699013896,0.120323017521631,-0.0086426132882446,0.0648979164510377,0.1129025743473273
AKT2,MAPKAPK2,0.007089291166227933,0.5765203510688173,-0.028154354468126655,0.6236116779914281,0.3700328950206943,0.5299210268560269,0.749260942979729
AKT2,MET,-0.12605106151805942,-0.8170880832961969,-0.0548414151845875,-0.0215694496189941,-0.140081990349438,-0.0750486334514652,0.0823479977793116
AKT2,PLK1,-0.01546307043383837,0.6481249391428285,-0.06320922223894306,0.2145027182872666,0.1015839878755718,0.1011514305122751,0.6138879937775833
AKT2,ROCK1,0.1894708124085912,0.9657535987687541,0.049835893693067096,0.477754607160799,0.2561747815246255,0.3059962701407519,0.7102169832253499
AKT2,SRC,0.04926320708666914,0.7745007956180358,-0.012332550942341277,-0.4094513491546162,-0.2921771621192893,-0.5035177753283872,-0.5206598032980576
CDK2,CSF1R,-0.008457801717533546,-0.6643168438686338,0.03318362765445285,-0.3651695921536074,-0.3627046473800616,0.0684209925071733,-0.3940418397828209
CDK2,EGFR,0.05960993805404529,0.510359860803132,0.043921804669359056,-0.0108523666699778,-0.1058834146010836,-0.223883136283895,0.0414967521139976
