target_a,target_b,docking_local_20_centered_correlation,docking_all_58_centered_then_extract_correlation,DAVIS_experimental_centered_correlation,PKIS2_experimental_centered_correlation,PKIS1_experimental_centered_correlation,KiRHub_experimental_centered_correlation
ABL1,AKT1,-0.4581938914232396,-0.34724696178560405,-0.445738692394289,-0.3578359374165858,-0.4184935606804718,-0.5639000526953813
ABL1,AKT2,-0.1323074285226078,-0.028753733536662565,-0.47579342893394105,-0.43668684994545975,-0.4194489061150166,-0.5899173157379262
ABL1,CDK2,-0.3012502900681181,-0.20694555991258953,-0.3795023798976478,-0.11901292870852899,-0.025099735877072104,-0.5232617760755086
ABL1,CSF1R,0.014836692390083096,0.055196731245127945,0.32426118758079936,0.26869897740341436,0.15163792251281813,0.37880528960754356
ABL1,EGFR,-0.11002002311815101,-0.024135819539015342,-0.027749196729083537,-0.20217315964183447,-0.17461955013884173,0.011693873848013093
ABL1,FGFR1,0.38950980313340333,0.4140924546624966,-0.14376506526195298,0.01119661601530648,-0.10356433635506841,0.15810324529917338
ABL1,IGF1R,-0.2634808360264847,-0.23746836189993775,-0.3700161726443283,-0.32818379939972836,-0.30862589877410174,-0.1753241520325329
ABL1,JAK2,-0.2212746712161676,-0.15336591864996796,-0.18570550805926445,-0.2830906914018644,-0.22435284526704974,-0.13104431229086927
ABL1,KDR,0.3844634874593076,0.38115172544341097,-0.11293723940139619,0.3591251175100621,0.3761348495106243,0.2478705041247339
ABL1,KIT,0.23158560557779584,0.2818322921308219,0.3390606758310137,0.24062460114031595,0.3578067292891783,0.1711583469224406
ABL1,LCK,-0.11529424666884115,-0.014883736035440343,0.7808323329567225,0.3127460883763294,0.5932189380821268,0.657540647207573
ABL1,MAP2K1,-0.3067946810523854,-0.20514376988251262,-0.14974660263441217,-0.05545047211288395,-0.5250997782361227,-0.32960040475065994
ABL1,MAPK1,-0.18241960292412487,-0.12998438531769757,-0.47295666101404404,-0.26280455567169825,-0.5375420140420669,-0.5684329537522469
ABL1,MAPK14,-0.03566872002971643,-5.054168044269839e-05,0.035557974222443334,-0.07863919940166504,-0.17022551590804982,0.062306997624138855
ABL1,MAPKAPK2,-0.17400378339744668,-0.07430941445650689,-0.5381273174463919,-0.3422535998070806,-0.44243813055895653,-0.5820177056820093
ABL1,MET,0.1788573464692633,0.19631883668073347,-0.18055460886647595,0.05803222056377591,-0.05761777918319348,-0.033911764061080964
ABL1,PLK1,-0.2772673680679443,-0.18398981367518835,-0.3798860358370302,-0.2355957450903746,-0.2998900360545353,-0.5443461405892123
ABL1,ROCK1,-0.43270657857861744,-0.3167027097294657,-0.4107854900007856,-0.29889816026125354,-0.41338138745864156,-0.5224125601587762
ABL1,SRC,-0.23982089029866077,-0.14425023295256612,0.5889304691305588,0.23929445172679495,0.6718119332755329,0.5537263623037476
AKT1,AKT2,0.19192906595693093,0.30521917384395214,0.9559847862535524,0.690560750343774,0.9945692101419624,0.933812341029806
AKT1,CDK2,0.12197902282993112,0.23125829761189706,0.35429090639328764,0.050501690098721554,-0.18404122117739902,0.41285750744882294
AKT1,CSF1R,-0.24869232476428466,-0.14855276624517433,-0.42150509198930824,-0.35927690636401,-0.4447684362678372,-0.5313431303928419
AKT1,EGFR,0.013213193795510204,0.1366784775856685,0.037489962030452656,-0.04181387977560814,0.07644556869030456,-0.11377634356426057
AKT1,FGFR1,-0.2918294898006309,-0.1958477098939144,-0.1778379660685834,0.0801200356803987,0.08870393814907485,-0.39561919159991693
AKT1,IGF1R,-0.0717272122171114,-0.007624056865301958,0.12822846763307516,0.08079935841254662,0.016664376650985545,0.011677286906756299
AKT1,JAK2,-0.0398247893067361,0.06460042753569892,-0.15158503902974996,0.06834378569729375,0.1588986052126274,-0.2264243466014863
AKT1,KDR,-0.3011388132481555,-0.2694258834331184,-0.2733090730511838,-0.3406931155752739,-0.09534418331732701,-0.38262512402185767
AKT1,KIT,-0.2536069575610778,-0.11595384969737352,-0.4611445279839958,-0.3827809277701749,-0.477486646276247,-0.32093042334713834
AKT1,LCK,0.027169330535208258,0.16497912093561945,-0.5167095705792709,-0.3995390764669895,-0.4039432292201076,-0.6687788571949767
AKT1,MAP2K1,0.43136910191912325,0.5003277788305471,-0.1307536160009901,-0.033138818432031404,0.21817229944253266,0.2904418022542359
