target_a,target_b,full_residual_correlation,normalized_low_mode_correlation,communality_weighted_spectral_kernel
ABL1,AKT1,-0.458193891423238,-0.783896127172212,-0.501483975105994
ABL1,AKT2,-0.132307428522609,-0.248648559678044,-0.146219090762541
ABL1,CDK2,-0.301250290068116,-0.791421773834484,-0.367927518582453
ABL1,CSF1R,0.0148366923900841,0.0621102759241715,0.0368313042559668
ABL1,EGFR,-0.110020023118152,-0.121017110892589,-0.072884567073754
ABL1,FGFR1,0.389509803133403,0.895582799523931,0.52037006379571
ABL1,IGF1R,-0.263480836026487,-0.54040163344116,-0.292537468218305
ABL1,JAK2,-0.221274671216168,-0.410430249734546,-0.215934543521126
ABL1,KDR,0.384463487459307,0.7167105297269,0.451908351346696
ABL1,KIT,0.231585605577797,0.816301668086043,0.375432392705332
ABL1,LCK,-0.115294246668841,-0.0709619879280085,-0.0469940631983278
ABL1,MAP2K1,-0.306794681052389,-0.569567924763209,-0.347376407959204
ABL1,MAPK1,-0.182419602924125,-0.324467937923274,-0.18235845057274
ABL1,MAPK14,-0.0356687200297163,-0.0572363695130605,-0.0367670982898434
ABL1,MAPKAPK2,-0.17400378339744,-0.686854213491687,-0.214893613891662
ABL1,MET,0.178857346469263,0.458154321804062,0.245143423109539
ABL1,PLK1,-0.277267368067947,-0.437702569623761,-0.196145434922945
ABL1,ROCK1,-0.432706578578614,-0.801946892965951,-0.479265776275439
ABL1,SRC,-0.23982089029866,-0.247060013615198,-0.14815950931869
AKT1,AKT2,0.191929065956929,0.586477724311904,0.35463183711139
AKT1,CDK2,0.121979022829931,0.371771547844071,0.177720896734007
AKT1,CSF1R,-0.248692324764285,-0.47510718623177,-0.28970321070212
AKT1,EGFR,0.0132131937954998,0.0622741458177238,0.0385660044086552
AKT1,FGFR1,-0.291829489800633,-0.503111472919635,-0.300592991624804
AKT1,IGF1R,-0.0717272122171085,-0.0679095574700055,-0.0378010458044082
AKT1,JAK2,-0.0398247893067353,-0.154285742511805,-0.0834673500126292
AKT1,KDR,-0.301138813248154,-0.427162929595131,-0.276954360932567
AKT1,KIT,-0.25360695756108,-0.639462906298368,-0.302415804426234
AKT1,LCK,0.0271693305352104,0.0227851456745361,0.015515904656261
AKT1,MAP2K1,0.431369101919124,0.846481384055744,0.530860335157402
AKT1,MAPK1,-0.0474789368466584,-0.0797722100664193,-0.0461013664804899
AKT1,MAPK14,-0.122255432791983,-0.160318007479251,-0.105895536092922
AKT1,MAPKAPK2,0.0828260079497255,0.418083790865886,0.134502495594269
AKT1,MET,-0.182609258510176,-0.24610739947962,-0.135407025918199
AKT1,PLK1,0.119671720612952,0.238987981676711,0.110124319951263
AKT1,ROCK1,0.444582293796422,0.895718604374733,0.550440616713067
AKT1,SRC,0.134369534241027,0.23202931182434,0.143079690280626
AKT2,CDK2,0.00536263532726365,-0.00398447032674844,-0.00175086448483488
AKT2,CSF1R,-0.121683840466492,-0.0876123872933187,-0.0491073855934493
AKT2,EGFR,-0.127372460290386,-0.625770777573942,-0.356231021302936
AKT2,FGFR1,-0.102203344611599,-0.100710053571648,-0.0553104315342447
AKT2,IGF1R,-0.102397984309096,-0.4714682543209,-0.241237578490368
AKT2,JAK2,-0.117285415113951,-0.241429773522681,-0.120060804095176
AKT2,KDR,-0.133828746923172,-0.199294886017377,-0.118776465203622
AKT2,KIT,-0.10561676356896,0.0309922077808294,0.0134729045183926
AKT2,LCK,0.0207961289483311,0.0186765580767631,0.0116907325593311
AKT2,MAP2K1,0.0541565638244682,0.187243495523742,0.107941685622078
AKT2,MAPK1,-0.0242112831777974,0.0457819476883279,0.0243206976775337
AKT2,MAPK14,-0.118881367080368,-0.344593392516329,-0.209229001586762
AKT2,MAPKAPK2,0.00704315998122762,0.167968565712909,0.0496723396157969
AKT2,MET,-0.126043159341882,-0.20476091110353,-0.103557884846742
AKT2,PLK1,-0.0154808435874649,0.235546157782444,0.0997706479425188
AKT2,ROCK1,0.189457431178505,0.5522175078938,0.311938256131807
AKT2,SRC,0.0492746467313435,0.14715178055503,0.0834104090720012
CDK2,CSF1R,-0.00850343811121473,0.0309179469222837,0.0137002373860107
CDK2,EGFR,0.0595806530816243,0.281300309922081,0.126596825026718
CDK2,FGFR1,-0.366995667288365,-0.959146512252813,-0.416442761396406
CDK2,IGF1R,0.129660876007089,0.623248582865918,0.252109929226323
CDK2,JAK2,0.226018744513696,0.845039297881384,0.332218239460736
CDK2,KDR,-0.335800875055162,-0.77502657632079,-0.365163181895211
CDK2,KIT,-0.25919654949022,-0.714374555575216,-0.245510935024575
CDK2,LCK,0.112942467310718,0.206682845958119,0.102278761791038
CDK2,MAP2K1,0.0318810262378332,0.153269638987047,0.069851339044089
CDK2,MAPK1,0.180591178514195,0.714312503218258,0.299989574649277
CDK2,MAPK14,-0.0573265120213265,-0.184055558758555,-0.0883486710281973
CDK2,MAPKAPK2,0.183972486059792,0.925079174964754,0.216272675333251
CDK2,MET,-0.24472338733458,-0.554155128139405,-0.221566256701658
CDK2,PLK1,0.113099885627368,0.789903260936092,0.264506787387546
CDK2,ROCK1,0.162145227053656,0.38471249097894,0.171803062597468
CDK2,SRC,0.0961676864084687,0.306824641034218,0.137493165310762
CSF1R,EGFR,-0.2130684254226,-0.661310450878851,-0.379627226493803
CSF1R,FGFR1,-0.106667166033596,-0.117009610066156,-0.0648024253477854
CSF1R,IGF1R,0.107860340686108,0.556318961859195,0.287046249223731
CSF1R,JAK2,0.128215028225539,0.396509128561799,0.198837877869559
CSF1R,KDR,-0.155166868290783,-0.195231272849408,-0.117332719320169
CSF1R,KIT,0.0855394446801442,0.228804686291588,0.100301895577483
CSF1R,LCK,0.0323620762289689,0.0833100216608042,0.0525869083421698
CSF1R,MAP2K1,-0.304541203689525,-0.688600498716401,-0.400299729883413
CSF1R,MAPK1,0.0519143646630588,0.236943933651159,0.126929587028978
CSF1R,MAPK14,0.192219965008331,0.595855114521405,0.364830481939616
CSF1R,MAPKAPK2,-0.070476153282618,-0.192513348903875,-0.0574093936333655
CSF1R,MET,-0.12748964993689,-0.26398918358752,-0.134634933304589
CSF1R,PLK1,-0.0122845378073476,-0.0977176233309239,-0.0417383399836808
CSF1R,ROCK1,-0.0764389302335121,-0.134830649991602,-0.0768037817600501
CSF1R,SRC,-0.0196090814688813,-0.0103175495931382,-0.00589748443294136
EGFR,FGFR1,-0.11117939229112,-0.13381034760886,-0.0752652633521709
EGFR,IGF1R,-0.00752924370463441,0.114651954690646,0.0600820351674295
