replicate,target_permutation,fixed_points
0,8 9 10 1 17 4 18 5 6 16 15 0 7 19 12 14 13 3 2 11,0
1,8 9 10 17 13 19 11 1 7 3 4 12 18 5 6 16 2 0 14 15,0
2,1 10 7 12 3 13 2 5 19 0 4 15 16 14 18 8 6 11 9 17,0
3,17 9 19 16 13 14 0 2 5 7 15 8 1 4 6 18 10 12 11 3,0
4,8 16 1 4 11 2 10 5 13 15 14 18 17 3 6 19 7 9 0 12,0
5,11 3 4 19 14 15 10 8 9 0 17 18 1 7 12 13 2 6 5 16,0
6,16 19 18 17 11 13 4 15 5 6 1 8 0 12 3 7 10 2 14 9,0
7,16 11 7 19 9 0 14 1 2 12 18 15 6 17 5 10 3 4 8 13,0
8,19 3 1 15 0 4 5 11 17 13 9 14 2 18 16 8 7 6 12 10,0
9,17 0 12 9 10 2 19 4 3 7 16 5 1 15 18 13 11 8 14 6,0
10,12 13 4 18 7 9 11 8 10 17 16 19 6 1 2 14 15 0 5 3,0
11,5 19 6 13 15 14 7 9 4 16 0 3 17 2 11 12 10 8 1 18,0
12,5 14 1 9 16 2 3 0 19 7 12 8 4 6 18 17 11 13 10 15,0
13,8 10 13 5 11 18 14 19 2 4 9 6 1 17 15 0 12 16 3 7,0
14,6 15 4 17 5 0 18 11 12 7 1 13 10 9 3 19 8 16 2 14,0
15,4 7 14 13 18 1 3 15 0 6 5 19 9 12 11 8 17 16 2 10,0
16,10 16 7 14 5 19 2 15 9 11 17 0 18 4 3 13 8 6 1 12,0
17,8 19 16 18 5 0 15 4 12 17 7 9 11 2 10 3 14 1 6 13,0
18,15 4 17 5 13 1 0 16 19 10 2 14 8 11 7 12 18 6 9 3,0
19,1 19 11 18 3 14 0 12 17 5 7 4 9 8 15 6 2 16 10 13,0
20,6 8 13 4 17 16 7 1 18 2 3 12 11 19 15 14 9 0 5 10,0
21,14 10 1 13 17 4 5 9 18 12 11 2 7 0 15 16 19 8 6 3,0
22,19 16 6 2 3 8 7 1 9 13 12 18 11 5 0 4 14 15 17 10,0
23,12 18 19 1 2 13 0 5 17 8 9 7 14 3 4 16 11 6 10 15,0
24,2 13 19 11 14 6 3 8 9 17 15 18 16 4 7 5 0 12 1 10,0
25,3 7 11 8 5 15 13 4 18 17 6 12 9 10 19 1 0 16 2 14,0
26,13 7 18 11 17 8 15 4 6 3 1 16 2 14 10 5 0 19 9 12,0
27,19 10 1 9 3 17 13 6 2 12 18 8 16 14 4 7 11 0 15 5,0
28,19 3 5 11 6 8 2 4 10 12 18 9 0 15 1 7 17 16 14 13,0
29,19 11 13 5 1 6 16 17 12 10 0 18 2 9 8 14 4 3 7 15,0
30,11 12 9 16 2 15 5 13 0 7 18 14 10 8 17 6 19 3 4 1,0
31,4 7 0 6 11 1 12 18 2 14 17 8 10 15 19 5 3 13 16 9,0
32,10 11 1 13 2 15 18 5 7 8 6 14 4 16 3 0 9 19 17 12,0
33,15 6 11 12 9 16 1 2 18 8 4 14 0 5 19 7 3 10 13 17,0
34,9 19 5 11 15 2 18 12 7 13 16 3 4 1 10 14 6 0 8 17,0
35,12 19 1 15 17 13 11 4 7 14 16 2 10 18 8 6 3 0 5 9,0
36,19 0 10 5 13 15 9 3 12 2 1 14 17 11 8 6 18 4 7 16,0
37,6 17 19 7 9 2 3 15 4 10 5 13 8 18 0 11 12 16 14 1,0
38,6 10 4 18 3 9 12 2 7 8 15 16 5 11 19 13 17 1 0 14,0
39,3 9 19 1 17 16 5 18 11 14 13 0 6 7 4 12 15 8 10 2,0
40,11 4 13 6 0 17 15 18 7 3 8 10 5 14 19 2 12 1 16 9,0
41,11 0 7 17 8 14 18 4 12 13 16 6 5 10 2 9 19 15 1 3,0
42,9 11 1 13 5 10 18 14 15 19 4 12 3 2 0 6 17 7 8 16,0
43,1 7 10 4 14 17 11 16 9 5 13 6 18 8 15 19 2 3 12 0,0
44,10 4 18 13 14 19 15 3 17 8 1 9 7 12 5 2 11 0 6 16,0
45,8 0 12 13 17 7 4 9 14 19 2 10 3 1 11 16 5 18 15 6,0
