replicate,regime,truth_informative,raw_pr,residual_pr,expansion_log2,raw_seed_spearman,residual_seed_spearman,preference_accuracy,residual_truth_spearman,residual_pr_null_median,residual_pr_null_ratio,residual_pr_null_lower_tail_p,expansion_only_pass,reproducibility_axis_pass,residual_structure_axis_pass,coherence_gate_pass,coherence_composite_score
0,good_correlated_interactions,True,1.1007796933140803,3.6685980954016135,1.7367031009834857,0.9966346542332319,0.9343301681513689,0.9161184210526315,0.9846687120054114,17.988895562020687,0.20393681661852514,0.025,True,True,True,True,2.143172002693759
0,generic_ligand_effect_independent_noise,False,1.1010981676626106,18.263979552476805,4.0519861472504655,0.9967531160400729,0.9398534728716741,0.49953947368421053,0.003968314604690913,18.323008769695253,0.9967784102512641,0.225,True,True,False,False,0.004375275698298677
0,target_correlated_artifact,False,1.1003709174022407,3.77397105019333,1.7780934410812292,0.9967547500461671,0.9340062850776506,0.500811403508772,0.0036862272942298968,18.050097445807555,0.20908313994005054,0.025,True,True,True,True,2.1088473651271706
0,shuffled_box_labels,False,1.1007796933140808,3.668598095401613,1.736703100983485,0.9966346542332319,0.9343301681513689,0.4906359649122807,0.002966091001693696,17.988895562020687,0.2039368166185251,0.025,True,True,True,True,2.1431720026937593
0,seed_unstable_noise,False,1.065795119468707,18.49890847368147,4.11743811027855,0.9208626840913919,-0.002256625824724673,0.5013706140350878,0.011088961030696193,18.32807841117234,1.0093206750144084,1.0,True,False,False,False,0.0
0,good_high_dimensional_interactions,True,1.1013076646184228,18.23064944897054,4.049076490941846,0.9967183772972915,0.9404280303594623,0.9340021929824561,0.985807382021022,18.32512494960038,0.9948444825948157,0.1,True,True,False,False,0.007012845648275273
1,good_correlated_interactions,True,1.1073661093423244,3.7160172651402363,1.7466249303583599,0.9966671297652684,0.9385764258878736,0.9343969298245614,0.9855071165690876,18.083428468507655,0.20549296122755104,0.025,True,True,True,True,2.142618979237785
1,generic_ligand_effect_independent_noise,False,1.108859233426477,18.309203730425196,4.045420913368555,0.9967052370247965,0.9388056163200479,0.5015241228070175,0.007561266249579712,18.31537779845654,0.9996629025019693,0.475,True,True,False,False,0.0004566452634077353
1,target_correlated_artifact,False,1.1067181497353504,4.011979558527164,1.8580264005978258,0.9966468976280045,0.9348249585213212,0.5063267543859649,0.03157811579403338,18.053459395785122,0.22222774431053513,0.025,True,True,True,True,2.0284665363135783
1,shuffled_box_labels,False,1.107366109342324,3.7160172651402363,1.7466249303583603,0.9966671297652684,0.9385764258878736,0.5347916666666667,0.12284841223522583,18.083428468507655,0.20549296122755104,0.025,True,True,True,True,2.142618979237785
1,seed_unstable_noise,False,1.0719651778424524,18.295787717907267,4.093181585108176,0.9181740938929481,0.0019041780534307517,0.499046052631579,-0.00265756712681822,18.32122239845795,0.9986117367063442,0.425,True,False,False,False,3.816414764032769e-06
1,good_high_dimensional_interactions,True,1.1086901787300651,18.238891622161027,4.040089890890673,0.9966488268950611,0.9405983809608115,0.9466337719298246,0.9860488469894623,18.307491002791302,0.9962529338061772,0.175,True,True,False,False,0.005094306482283303
2,good_correlated_interactions,True,1.1010068153569736,3.8808035936565792,1.8175320212179205,0.9966248055867492,0.9346571610612757,0.9265131578947369,0.9847936658913159,18.087377709114463,0.21455866384108252,0.025,True,True,True,True,2.0754585079168084
2,generic_ligand_effect_independent_noise,False,1.1013606695735563,18.349056847166445,4.0583470096620395,0.9967607787056292,0.9403719006116743,0.5033662280701754,0.006603695696112149,18.31872305160703,1.0016558902863457,0.65,True,True,False,False,0.0
2,target_correlated_artifact,False,1.100494102829539,3.9023570247525092,1.8261943611129032,0.9966638994185537,0.9368972072552866,0.5038267543859649,0.014746566471316912,18.09668022089517,0.21563938673385452,0.025,True,True,True,True,2.073641506063699
2,shuffled_box_labels,False,1.1010068153569734,3.8808035936565783,1.8175320212179202,0.9966248055867492,0.9346571610612757,0.514890350877193,0.0512779486493918,18.087377709114463,0.21455866384108246,0.025,True,True,True,True,2.075458507916809
2,seed_unstable_noise,False,1.0644567759241184,18.377295415885744,4.109735188003397,0.9213261716723761,-0.0015695341153378268,0.49278508771929824,-0.014870926797102071,18.295675749099075,1.0044611452403276,0.825,True,False,False,False,0.0
2,good_high_dimensional_interactions,True,1.102194204971474,18.336530193680876,4.0562703126508035,0.996752754671254,0.9396220946682086,0.937313596491228,0.9852925278894589,18.305449804934447,1.0016978762651356,0.625,True,True,False,False,0.0
3,good_correlated_interactions,True,1.0999077277160105,3.7744511620095116,1.7788843795002218,0.9968319834590059,0.9364665437442117,0.9272368421052631,0.9851132448878389,18.059475260950794,0.2090011535479572,0.025,True,True,True,True,2.11493214010013
3,generic_ligand_effect_independent_noise,False,1.1015347775277955,18.287574424034922,4.0532767861697865,0.9968852787883604,0.9380063950792795,0.5013706140350878,0.013723185844978147,18.32515797211474,0.997949073719473,0.3,True,True,False,False,0.0027782807028105217
3,target_correlated_artifact,False,1.1008604606396355,3.9896842245033564,1.857642952597247,0.9968790909220822,0.9384699453908414,0.5000109649122807,-0.00432081109560342,18.10563584803707,0.2203559299429906,0.025,True,True,True,True,2.0478281108274987
3,shuffled_box_labels,False,1.0999077277160112,3.7744511620095103,1.7788843795002205,0.9968319834590059,0.9364665437442117,0.4403947368421053,-0.16034002251888044,18.059475260950794,0.20900115354795715,0.025,True,True,True,True,2.1149321401001306
3,seed_unstable_noise,False,1.0662448144579884,18.349169422409577,4.10510413044896,0.9233253878127755,-0.007588086548807363,0.49974780701754384,-0.002783179866896483,18.318080811358428,1.0016971543783055,0.625,True,False,False,False,0.0
3,good_high_dimensional_interactions,True,1.10103695303321,18.213684645458507,4.048088015798988,0.9968151706061759,0.9381125685152188,0.938015350877193,0.9858861096694456,18.319356770714663,0.9942316683615724,0.15,True,True,False,False,0.007829523159600725
4,good_correlated_interactions,True,1.1085847293547095,3.8336079223672996,1.78998375476068,0.9963577755816817,0.9366673377188296,0.9272149122807017,0.9851909331482306,18.095538068190148,0.2118537679244994,0.025,True,True,True,True,2.0970663865298764
4,generic_ligand_effect_independent_noise,False,1.1094065102873387,18.247753942680742,4.039858896404908,0.9963677886433138,0.9372504499891542,0.5041995614035087,0.013317525616509611,18.313065373167035,0.9964336156096516,0.2,True,True,False,False,0.004830965440240963
4,target_correlated_artifact,False,1.1088934041575593,3.8453544417540813,1.7939958947115646,0.9962927236197128,0.9354398139560527,0.4975657894736842,-0.01655694668573076,18.046537332288235,0.21307990396994925,0.025,True,True,True,True,2.0865298975134645
4,shuffled_box_labels,False,1.1085847293547095,3.8336079223672983,1.7899837547606794,0.9963577755816817,0.9366673377188296,0.48346491228070176,-0.019842915607019486,18.095538068190148,0.2118537679244993,0.025,True,True,True,True,2.097066386529877
4,seed_unstable_noise,False,1.0707820166292747,18.32863484915345,4.097362615365764,0.9143807250366832,0.006518026519292823,0.4959429824561403,-0.01425184469131776,18.306870404721014,1.0011888675645413,0.625,True,False,False,False,0.0
4,good_high_dimensional_interactions,True,1.1097630048113862,18.371849651288592,4.049173362048262,0.9963704206149134,0.936983973912044,0.9403508771929825,0.9856299876912976,18.297682205548714,1.0040533792699375,0.8,True,True,False,False,0.0
5,good_correlated_interactions,True,1.1015318674913888,3.833903287877726,1.799302711724667,0.996759536382482,0.9377122534067085,0.9204276315789474,0.9854394567511878,18.073144672438126,0.2121326065476861,0.025,True,True,True,True,2.0976263990569053
5,generic_ligand_effect_independent_noise,False,1.102125030909782,18.204795286090885,4.045958712405439,0.9967207732120309,0.9392893576989947,0.4978947368421053,-0.007692814658667694,18.320413570475353,0.9936891007432935,0.075,True,True,False,False,0.008579050014254696
5,target_correlated_artifact,False,1.101493337631785,3.934472813118809,1.8367095705124024,0.9966957667691597,0.9378630521550896,0.5099013157894737,0.0338250158699546,18.065093773459186,0.217794209233458,0.025,True,True,True,True,2.06232568093996
5,shuffled_box_labels,False,1.1015318674913888,3.833903287877726,1.799302711724667,0.996759536382482,0.9377122534067085,0.41773026315789474,-0.24924212811135124,18.073144672438126,0.2121326065476861,0.025,True,True,True,True,2.0976263990569053
5,seed_unstable_noise,False,1.0657935283739453,18.33287767461344,4.104433377433814,0.9190394801463703,-0.007824905290526317,0.5008333333333334,-0.0018684655015024467,18.30615722693511,1.0014596426408386,0.625,True,False,False,False,0.0
5,good_high_dimensional_interactions,True,1.1021918293081847,18.445923698291555,4.064854792706652,0.9967126344993776,0.9376883121765225,0.9322807017543859,0.9857767595027861,18.296333574629625,1.008175961760413,0.925,True,True,False,False,0.0
6,good_correlated_interactions,True,1.0972248476118969,3.837470359407643,1.8062964084061965,0.996917823805532,0.9340268882815419,0.926063596491228,0.983890886177744,18.023575235447844,0.2129139368453548,0.025,True,True,True,True,2.084428303389527
6,generic_ligand_effect_independent_noise,False,1.0968934725978554,18.31482721104101,4.061516763265653,0.9968191351515749,0.9378697057874318,0.4975657894736842,-0.008167531582764015,18.320679905932774,0.9996805416108018,0.5,True,True,False,False,0.0004323154167060511
6,target_correlated_artifact,False,1.0969487899402215,3.8087997802400424,1.7958402743632278,0.9968349507441944,0.9373486025916733,0.5079495614035088,0.02464811464733198,18.090570563774396,0.21054061102235236,0.025,True,True,True,True,2.106999891659411
6,shuffled_box_labels,False,1.097224847611897,3.837470359407643,1.8062964084061965,0.996917823805532,0.9340268882815419,0.5302302631578948,0.09073085656174974,18.023575235447844,0.2129139368453548,0.025,True,True,True,True,2.084428303389527
6,seed_unstable_noise,False,1.0622819985184901,18.317132872537975,4.107954993350182,0.9242652968534647,0.00805882430619384,0.4982127192982456,-0.004334088113976651,18.335271012980407,0.9990107514402383,0.375,True,False,False,False,1.1507117677778338e-05
6,good_high_dimensional_interactions,True,1.0972138954168027,18.392814525350474,4.0672255590871025,0.9968735878567013,0.9375372701962594,0.9395394736842105,0.9853179691603513,18.31160433187015,1.0044349032454236,0.825,True,True,False,False,0.0
7,good_correlated_interactions,True,1.1201405749698732,3.818899730421186,1.769477242419241,0.9961297414809,0.9331418895468956,0.9211074561403508,0.9840201474638687,18.02967424007761,0.2118119096091193,0.025,True,True,True,True,2.0894394218719095
7,generic_ligand_effect_independent_noise,False,1.1220853227190477,18.25291210013256,4.023872365408838,0.9962130871849293,0.9395070417426981,0.498125,-0.007743187950229903,18.282435562025185,0.9983851461260473,0.4,True,True,False,False,0.0021905779178163706
7,target_correlated_artifact,False,1.1203960786708589,3.6880906257021135,1.7188652676891318,0.9962648109675002,0.9353386151024157,0.4980263157894737,0.00931129854938475,18.070393812388957,0.2040957526433973,0.025,True,True,True,True,2.1444339464813047
7,shuffled_box_labels,False,1.120140574969873,3.818899730421186,1.7694772424192415,0.9961297414809,0.9331418895468956,0.5163706140350878,0.06400761350105917,18.02967424007761,0.2118119096091193,0.025,True,True,True,True,2.0894394218719095
7,seed_unstable_noise,False,1.0770846817091324,18.209136935862045,4.079458958174172,0.9098196896681825,-0.0024085802805835534,0.4982785087719298,-0.003933853422676361,18.32805219067043,0.993511844380882,0.175,True,False,False,False,0.0
7,good_high_dimensional_interactions,True,1.1219676887030283,18.409507162084967,4.0363479712458235,0.9961510221479061,0.9370223692846393,0.9328837719298245,0.9853402884151508,18.307709697058925,1.0055603604552674,0.95,True,True,False,False,0.0
